Process,Narrative,SME Hazard Type Label,,SME Severity Label
Employee Suggestion,D-0642 cleaning system tank the ladder is high and without safety Guard. No safety guard for this ladder. I Suggest to Install safety guard for this ladder.,Safety - slip trip and fall,,
Employee Suggestion,There is ladder for G-0042B suction without safety guard.I suggest to install safety guard to this ladder.,Safety - slip trip and fall,,
Employee Suggestion,There is ladder for G-0042E suction without safety guard.I suggest to install safety guard to this ladder.,Safety - slip trip and fall,,3C
QSI Observation,MCC-003. Panel AHL (B96-EM-0203A) in the ?É¬¢?Ç‚Ç¨?Ç?ìOFF?É¬¢?Ç‚Ç¨?Ç¬ù position without LOTO. Panel AHH (B91-GT1-WR-006) in the ?É¬¢?Ç‚Ç¨?Ç?ìOFF?É¬¢?Ç‚Ç¨?Ç¬ù position without LOTO. Check panels and install LOTO as required.,Safety - electric,,4C
QSI Observation,"OME Building, HVAC Room. Two electrical breakers were found on the off position without the application of the Lock Out Tag Out process.",None - minor maintenance,,
QSI Observation,"Substation, Bldg. 303, Switchgear Room 100. Locks at MCC-003 from ATS-001, at spare panels ?É¬¢?Ç‚Ç¨?Ç?ìAEF?É¬¢?Ç‚Ç¨?Ç¬ù and ?É¬¢?Ç‚Ç¨?Ç?ìAEI?É¬¢?Ç‚Ç¨?Ç¬ù are installed in the incorrect hole. Install locks in the correct position to offer proper isolation protection.",Safety - electric,,
QSI Observation,Main panel switch (2-Q01 120 V AC) near air filter separator D-601 A/B was found on the off position without the application of the Lock Out Tag Out process.,None - minor maintenance,,
QSI Observation,"4-Lab building 101 Breaker found in off position without lockout tagout in the Electrical Room PP-03 Circuit Breaker (1,2,4,[8,10,12],[13,15,17][16,18,20]).",Safety - electric,,
QSI Observation,Detached ground jumper from B92-G-0671E located at West side of B92-D-0006B,None - minor maintenance,,2C
QSI Observation,Detached ground jumper from B92-G-0072B located at west side of B92-D-0045.,Safety - electric,,
QSI Observation,Apply LOTO (lock and hold tag) for all breakers in OFF position including spare ones. Spare breaker (29.49 HP 22 KW type) located at MCC-004 of substation 206 was found in OFF position without required LOTO.,Safety - electric,,1C
QSI Observation,Several LV breakers in Unit-H PEECC found in OFF position and not locked (LOTO).,Safety - electric,,4C
QSI Observation,3-Lab building 101 Breaker in ON position while load schedule mentioned ?É¬¢?Ç‚Ç¨?ÇÀúSPARE?É¬¢?Ç‚Ç¨?Ç¬ù located in the Electrical Room PP-02.,None - minor maintenance,,
QSI Observation,one Spare breaker at B93-MCC-003 RI substation (ACJ) switched off without locks,Safety - electric,,
QSI Observation,"RO Process area, Bldg. 207 Electrical Room. Install arc flash hazard warning label, in accordance with G.I. 2.721, for all 480v electrical panels at the electrical room.",Safety - fire and explosion,,
QSI Observation,"Building 309, HVAC Room. Two electrical breakers B93-HU-309-01/02-DS were found on the off position without the application of the Lock Out Tag Out process.",None - minor maintenance,,
QSI Observation,2 disconnect switches are de-energized without LOTO located at the HVAC room of the OME building.,None - minor maintenance,,4C
Incident Report,INJURED HAND - EMPLOYEE # 748764 WAS STRUCK BY AN OBJECT WHILE WORKING IN SHAYBAH NGL RECOVERY PLANT.,Safety - fire and explosion,,3C
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0111 at CGTG-A.Installing warning sign to direct people to wear safety glasses.,Safety - contact with chemicals,,
Employee Suggestion,I suggest that to Install Shower Head with eyewash at GIS substation in Battery Room.,Safety - contact with chemicals,,
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0111 at CGTG-A.Installing warning sign to direct people to wear safety glasses.,Safety - contact with chemicals,,
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0211 at CGTG-B.Installing warning sign to direct people to wear safety glasses.,Safety - contact with chemicals,,3C
QSI Observation,Assess the existing condition of mixing material type on caustic tank # 646 transfer line to tank # 646. It appears that this situation is generating heavy corrosion which may lead to pipe damage and potential spill during transfer operation.,Safety - contact with chemicals,,
QSI Observation,The eye wash and shower in Chlorination skid is without pressure regulator valve nor pressure gage violating SAES-B069.,Safety - contact with chemicals,,3C
Employee Suggestion,"Most of GT OME external doors aren?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢t equipped with windows/transparent glasses. In this condition, facial and body minor accidents/injuries may be about to occur due to vision inability of identifying people existence behind the door.",Safety - collision,,
Employee Suggestion,We have one way to unload liquid N2 by decreasing the pressure inside Liquid N2 Tank D-0610 because unloading pump for truck have lower pressure than the tank pressure so we must decrease pressure inside the tank through vent line located on PCV and,Safety - contact with chemicals,,
Employee Suggestion,"At gas treat storage area, there is not CHB sign next to 20-GM-0004 A &B Fresh MDEA unloading pumps.To install permanent CHB sign. CHB is very important to health hazard information and precautions for use during unloading Fresh F-MDEA to Storage tan",Safety - contact with chemicals,,
Employee Suggestion,"At Gas Treat storage area, sample point for WET MDEA tank is not provided with CHB sign.",Safety - contact with chemicals,,3C
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0711 at CGTG-G.Installing warning sign near D-0711 to direct people to wear safety glasses,Safety - contact with chemicals,,3C
Employee Suggestion,At HP Flare Area we don't have safety shower or eye wash while we may have a skin contact with a process specially during back wash activity or flashing activity for the transmitters. So I suggest to Install Safety Shower and Eye Wash.,Safety - contact with chemicals,,
Employee Suggestion,"In all areas, many OME and Operator Shelters door knobs were replaced with poor quality ones. These knobs are having corrosion in there surface. This will effect employee?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s healthiness in long period.Change the knobs for doors with high quality onc",Safety - fire and explosion,,
QSI Observation,The eye wash wasn?É¬¢?Ç‚Ç¨?Ç‚Ñ¢t flashed for long time as indicated during inspection. As per SAES-B-069 the eye wash shall be flashed in a weekly basis minimum for 3 min to prevent bacterial contamination build-up. Inspection and flash to be logged.,Safety - contact with chemicals,,3C
QSI Observation,Damaged Foundation Due to Sulfuric acid spills on the loading area. Root cause & correction action are required.,Safety - contact with chemicals,,
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0811 at CGTG-H.Installing warning sign near D-0811 to direct people to wear safety glasses,Safety - contact with chemicals,,
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0611 at CGTG-FInstalling warning sign to direct people to wear safety glasses,Safety - contact with chemicals,,
Employee Suggestion,"One of the Sample Point Handle ( SC -116) in B-91 is broken due to sever corrosion. This is the lean amine sample point and operators utilize it in daily basis. It is highly recommended to fix immediately. In addition, the adjacent piping must be che",Safety - contact with chemicals,,
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0411 at CGTG-D.Installing warning sign to direct people to wear safety glasses,Safety - contact with chemicals,,
QSI Observation,Beside the chemical storage there are several chemical drums without CHB Hazcom Labels . In addition to wood pallets need to be removed,Safety - contact with chemicals,,
Employee Suggestion,Due to oil splash from top of oil mist eliminator D-0511 at CGTG-E.Installing warning sign to direct people to wear safety glasses,Safety - contact with chemicals,,
Employee Suggestion,I suggested put self contained breathing apparatus nearby sour water stripper C-0101A/B due to if in case of H2S situation.,Safety - contact with chemicals,,
Employee Suggestion,"We have in our area residue line coming from C-0101 to break compressor K-0101A/B, the line wet all the time and make drop of water to electric breaker for the light in our area. So, I suggest to put shield (cover) for the electric breaker.",Safety - electric,,
Employee Suggestion,Situation now the transmitter 11-PI-0113 is ESD tag on LL pressure for our outlet injection to wells. But there is no set point for configured in DCS so it take action to close ZV.DCS Eng to put Set point for LL so that 11-PI-0113 take action.,None - minor maintenance,,
Employee Suggestion,Please our health in case of upset in the Pneumatic pump depends on who is fast enough to close the Plant Air before he gets injured.I highly recommend for safe chemical filling to install Loading Pump nearby each Chemical Drum.,Safety - contact with chemicals,,
Near Miss,pedestrians in the main Road,None - minor maintenance,,4C
Incident Report,INJURED FINGER - EMPLOYEE # 748626 WAS STRUCK BY A PAPER SHARP EDGE WHILE WORKING IN SHAYBAH NGL RECOVERY PLANT.,Safety - fire and explosion,,2C
Employee Suggestion,Outside the plant after the computer gate there is a rest room for the bus rider. this room miss the minimum safety requirement. So my suggestion is to install fire detectors inside the room. To keep this rest room safely.,Safety - fire and explosion,,
Employee Suggestion,"There are two roads intersecting with each other "" Beside the Maint. tool room bldg."" without any stop sign showing the priority. Having a stop sign as proposed in the attached sketch would prevent accidents that could occur if two cars are getting i",Safety - collision,,
Employee Suggestion,"the kitchens of the operation shelters have the wrong type of fire detector. therefore, whenever we cook the fire alarm triggers.we should change the fire detector design to the ""Heat Detector"".",Safety - fire and explosion,,
Unsafe Condition,"While I am a fire watch at E-0001 to remove cover by crane, the rigger was on scaffold without harnessinform area supervisor and reciever",Safety - collision,,
Employee Suggestion,The out side operator and MTC need to carry the tools with them on top for the drum and platform and this may cause unbalance or fall the tools so it will lead danger for the operator or the passersby. I suggest to use Side bag for carrying maintenan,None - minor maintenance,,
Employee Suggestion,Watch your steps drawing on the floor is very important because some times we are in harry or busy with our mobiles. As you can see in the attachment we can draw the sign on the floor before the step one.To draw signs on the floors in maintenance bui,Safety - slip trip and fall,,
Employee Suggestion,"To add inside admin building at the corner intersection a reflection mirror where the people walking from any side, they can see each other and avoid hitting each other.",Safety - collision,,1C
Employee Suggestion,Install an indoor convex mirror in the Admin building to prevent collisions between employees.,Safety - contact with chemicals,,
Employee Suggestion,"At every Stop sign the driver should check if the road is clear by looking on the right and left sides. However, at Utilities and RMU areas exits there are sand and food lugging containers blocking the road vision from the left side.To have a clear v",Safety - collision,,
Employee Suggestion,Install flashing stop signs on all Saudi Aramco buses at Shaybah Area. These sign will require drivers to stop and wait for a stopped bus loading or unloading to protect employees boarding the buses and might need to cross streets during loading or u,Safety - collision,,2C
Employee Suggestion,In the pedestrian crossing before and after SNGL computer gate there is no concrete in the middle of it. It has big stone which may affect employee ankles also may cause employee fall down.,Safety - slip trip and fall,,
Employee Suggestion,"To change the stop Sing To Yield Sing after SNGL ISF Security Gate, where we face intersections of T . The driver can turn with right Yield sing as you see the area is very clear in addition no effect to traffic line. For driver turn left, they must ",Safety - fire and explosion,,
Unsafe Condition,While I am a standby near RMU a car has been entered area without work permit.to close the entry roads with warning signs,Safety - collision,,1C
Employee Suggestion,"Currently, there is no stop sign and no entry sign in the street nearby gas treat buttery limit.My proposal is to install stop sign and no entry sign in the street nearby the gas treat buttery limit to prevent any vehicle to enter below buttery limit",Safety - collision,,
Employee Suggestion,Install a guards around the swale at the security patrol rad to prevent vehicles from tripping and falling into the swale.I propose to Install a guards around the swale at the security patrol road to prevent vehicles from tripping and falling into th,Safety - collision,,3C
Employee Suggestion,I suggest to Install a speed monitoring device at RIC road in the hopes it will keep motorists from exceeding the speed limit.,Safety - collision,,
Employee Suggestion,Outside the plant after the computer gate there is a rest room for the bus rider. this room miss the minimum safety requirement. So my suggestion is to install at least two Fire Extinguisher inside the room. To keep this rest room safely.,Safety - fire and explosion,,
Employee Suggestion,Currently the north side window of security computer gate Bld.112 which used to receive visitors ID?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s location is unsafe. It is extremely close to the vehicle Track and the risk of visitor to fall in the path of the vehicle is very high and may cau,Safety - collision,,
Employee Suggestion,The road entering from right cogeneration near CCR to launcher area RMU cross overhead pipe lines may be Trucks / crane hitting the overhead pipe line.,Safety - collision,,
Employee Suggestion,During major T&I and major work activity identifying our work force in the work place is important to eliminate any confusion and to shorten the time knowing and asking about our responsibilities at the job.a color coding arm band identifying Work pe,None - minor maintenance,,1C
Employee Suggestion,"in front of flear area gate out side the plant, there is no sign showing that it is not allowed to inter or work without a WORK PERMIT inside flear area.install a new sign in front of flear gate ""entry and work not allowed with out work permit""",Safety - fire and explosion,,1C
QSI Observation,CHB sign in battery rooms should be replaced with HAZCOM Label. CHB must be kept in a folder in shift supervisor office while HAZCOM label is posted on the location of chemical hazard,Safety - contact with chemicals,,3C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Bent pipe spool connected to the PI (31-PI-1588) and touch with damaged insulation on the Tube outlet line of Regeneration Gas Heater (B90-E-0112A).,None - minor maintenance,,
Employee Suggestion,all compressor seal gas heater at compression area outlet line isn't covered by insulation and the temperature for that is around 290 F while the inlet line foe seal gas heater is covered with insulationto put insulation at seal gas heater outlet lin,Safety - fire and explosion,,
Employee Suggestion,"Instrument air line to ZV-2145 inlet for Gm-0207 A/B, The instrument air line is too low to the ground and is not obvious especially in night time. This might lead to serious injuries if someone trips over the line.Place a warning sing in front of th",Safety - slip trip and fall,,2C
Employee Suggestion,"D-610 liquid N2 tank at utility Area has a pressure regulator valve PCV directing the N2 to atmosphere. this line is always covered with ice due to very low temp. this would cause cold burns if the employee get in contact with. So, I suggest to insta",Safety - contact with chemicals,,2C
Employee Suggestion,"I noticed when I was working at 21-TIC-1029 in Gas treatment area that there is a pipe line support for the line 24"" -HO S TO E-0103B has very high temperature, because the support is connected with the line. THE LOCATION IS: GT1/AMIN REGENERATOR REP",Safety - fire and explosion,,3C
Employee Suggestion,In order to avoid heat stress affect that will results due to employee standing in the assembly point especially during the summer where the temperature reach to 50 C. It is suggested to shade the emergency assembly point where the employees sometime,Others,,
Near Miss,Ear Protection,Safety - collision,,1C
Employee Suggestion,"Chemical tanks are without proper connection to be used with chemical filling pumps while there are designated filling points but it needs connections.The idea is to fabricate a connection to each chemical tank with proper drain and block valve, ( sa",Safety - contact with chemicals,,
Employee Suggestion,Establish an alarming system for AED (heart saver) in case of usage to safe sick personal.,Safety - contact with chemicals,,
Employee Suggestion,the proposal is to have regular practical training on SELF CONTAINED BREATHING APPARATUS for maintenance employees inside plant,Others,,1C
Employee Suggestion,I'm suggestion to implement Blood Donation campaign at Shaybah Area in corporation with any Medical care to Help needy patients. and Enhancing the role of humanitarian services to employees by donating blood and contributing to giving them the Joy of,Others,,
QSI Observation,"?É¬¢?Ç‚Ç¨?Ç¬¢ Job Safety Analysis (JSA) used to control a work activity at the Vessel 210C was not task specific and included hazards and controls not relevant to the work being performed. HWP 1537456 ?É¬¢?Ç‚Ç¨?Ç¬¢ Additionally, not all controls stated on the JSA were implemented at the site. Recommendation(s): ?É¬¢?Ç‚Ç¨?Ç¬¢ Identify gaps on the implementation of the SNGL SMS-6.09 Job Safety Analysis Process and develop an action plan to close those gaps. ?É¬¢?Ç‚Ç¨?Ç¬¢ Communicate to all work permit issuers they need to confirm all hazard controls stated on the JSAs have been implemented at the site prior the start of the work activities.",Others,,
QSI Observation,"Relocate all stored materials and chemicals from OME building. Storage space shall be provided as appropriate for materials such as chemicals and catalysts as per SAES-B-054 (Access, Egress, and Materials Handling for Plant Facilities).",Safety - contact with chemicals,,
QSI Observation,All Fire Extinguesher which in NGL security computer gate and security Buiding due to for annual inspection and also without sap number,Safety - fire and explosion,,
QSI Observation,Freezing PSA annunciator at CCR substation.,Safety - fire and explosion,,
QSI Observation,Instruct all supervisors on conducting regular inspection to all fire alarm control panels and update the log-book. Refer to GI 1781.001. B92-206-FP-001 at substation 206 was found not inspected since October 2017.,Safety - fire and explosion,,
Employee Suggestion,"Local panel of ESD of Air Compressors KM-0011A,B,C,D &E not cover. by plastic cover. it might cause damage from sun heat or any one push it by mistake and shutdown the compressors.Cover the local panel by plastic door to prevent damage from sun heat ",None - minor maintenance,,
QSI Observation,Fix HVAC at Admin Building electrical room,None - minor maintenance,,
QSI Observation,Several lube oil pump skids are observed with signed of leakage. Repair leaks to eliminate Loss of Containment and perform housekeeping at the area.,Safety - slip trip and fall,,
QSI Observation,"Instruct all supervisors on conducting regular fire detection system inspections (monthly) and promptly correct any deficiency. Fire alarm control panel from PEECC-D and CGTG C02 shelter, were found with trouble mode alarm.",Safety - fire and explosion,,
Employee Suggestion,Install CHB board nearby D-0642 cleaning system tank injection point for Sulfuric Acid .,Safety - contact with chemicals,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ There is a valve vent has external accumulate rust which is installed in the 6?É¬¢?Ç‚Ç¨?Ç¬ù RO water line located upstream the heat exchanger of B92-E-0001A,None - minor maintenance,,
Employee Suggestion,Install CHB board nearby D-0642 cleaning system tank injection point for Caustic .,Safety - contact with chemicals,,
QSI Observation,Several rotating equipment skids have signs of old oil leaks. The skids need hydrojetting in order to monito for new leaks a. NGL booster pump A skid b. NGL shipping pump D skid c. RGC-1 lube oil skid d. RGC-5 lube oil skid,Safety - contact with chemicals,,
QSI Observation,B92-G-0010 B diesel fire water pump joint site inspection following maintenance task not completed and blinds with used gaskets are placed at site.,Safety - fire and explosion,,1C
Unsafe Condition,In operator shelter Building #203 Kitchen the oven burner glass is broken.Replace the broken glass.,None - minor maintenance,,
QSI Observation,Several pump systems were visually inspected in different areas across the unit. Some of the pump facilities inspected were noted to have oil and / or chemical residue on the surface of the pump skid including but not limited to the following: ?É¬¢?Ç‚Ç¨?Ç¬¢ Lube Oil Pumps B93-G-0451 (A & B) ?É¬¢?Ç‚Ç¨?Ç¬¢ Lube Oil Pumps B93-G-0371 (A & B),Safety - contact with chemicals,,
QSI Observation,Vent line at the bottom of liquid nitrogen vessel D-610 is observed completely frozen and covered with ice. All accessible cold surfaces shall be protected per the requirements of SAES-B-053 Section 5.9. Until permanent protection installation is pro,None - minor maintenance,,
QSI Observation,"Several Fire Water Protection equipment were observed to have the yearly inspection overdue, including the following: ?É¬¢?Ç‚Ç¨?Ç¬¢ B90-LHR-102 ?É¬¢?Ç‚Ç¨?Ç¬¢ B90-LHR-104 ?É¬¢?Ç‚Ç¨?Ç¬¢ B90-LHR-120 Inspect and maintain fire protection equipment as per the requirements of GI 1781.001 Sup",Safety - fire and explosion,,
QSI Observation,Not all the column?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s manways at the Sour Water Stripper system B92-C-0101A & B have confined space entry warning signs. Please install confined space warning signs to prohibit entry by unauthorized personnel in compliance with SAES-B-067 and the SA C,None - minor maintenance,,
QSI Observation,"Review and ensure proper installation of the drain blind flanges on the 6in wet F-MDEA to D-0005 upstream of tank nozzle. Drain (2in) valve?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s blind flange was left loose and / or installed incorrectly, which increases the risk of hazardous material r",Safety - contact with chemicals,,
Employee Suggestion,I suggest to install fire extinguisher in the platform of Cooing water towers E-0052 . in case fire event at Cooling tower motor fans.,Safety - fire and explosion,,
QSI Observation,Unsecured task light reflector located at piperack # R-501 at NGL storage & RMU area .,Safety - collision,,
QSI Observation,"Review and ensure proper isolation of MOV 7001 is provided at the 44in pipeline from GOSP 4 Scrapper Area. Electrical enclosure of MOV is open with cables exposed, however the isolation breaker at the switch rack B94-GTI-SR-101 is in the ?É¬¢?Ç‚Ç¨?Ç?ìON?É¬¢?Ç‚Ç¨?Ç¬ù positio",None - minor maintenance,,
QSI Observation,Modify safety bar at north monkey ladder at the top of platform leading to B91-D-0102B. The safety bar is not self-closing.,None - minor maintenance,,
QSI Observation,G-X04A/B inlet block valves drain are thatching the ground surface required design correction,None - minor maintenance,,
QSI Observation,1. Minor NGL passing to burn pit was noticed from the 2?É¬¢?Ç‚Ç¨?Ç¬ù drain B/valve on the discharge piping from shipping pump G-0006D (downstream of ZV-2027). This item is a ?É¬¢?Ç‚Ç¨?Ç?ìH?É¬¢?Ç‚Ç¨?Ç¬ù priority and was addressed to the Operation Foreman immediately to take the required,None - minor maintenance,,
QSI Observation,1. Several orange coated isolation valves on the Anti-Foam skids at Gas Treat I & II were found without car-seals,None - minor maintenance,,
QSI Observation,"Water drops all the way of 48?É¬¢?Ç‚Ç¨?Ç¬ù- PASS B to K-0201 A/B pipe line need to be checked as there are many junction boxes and electrical lightning switch panels below this pipe, I suggest to check junction box sealing are in good condition and evaluate installing shade for junction boxes and electrical panels",Safety - fire and explosion,,
Unsafe Condition,"I found at NGL-1 on K-103B L.O fin fan EM-503 working oil vent to hydraulic gear box system 1?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É‚Äö?Ç¬ù line drain B/V opened while boiler maker closed witch is unsafe condition, I need your support to erect scaffolding in order to isolate it.",None - minor maintenance,,
QSI Observation,Outside CCR Main isolation valve for drinking water at CCB is passing required replacement since a long time.,None - minor maintenance,,
QSI Observation,"Ensure all fire protection equipment including but not limited to fire monitors, is kept clear of any obstruction. We observed that fire monitor # B48-M-007 located in co-gen area CGTG-B north of seal air fan was found blocked by pipe and wooden box.",Safety - fire and explosion,,
QSI Observation,Hose reel next to sulfuric acid are missing Fire Department. The tag was replaced 3 times and FrPD signature is not showing in the tag,None,,
QSI Observation,Missing task light reflector located at top of B90-D-0111 B at NGL Train 1.,None - minor maintenance,,
QSI Observation,B93-EW-SS-011 Eye wash catch basin near IG#2 filled by water,Safety - contact with chemicals,,
Employee Suggestion,"initially, we have the Acid Gas compressor trains LP/HP Lube Oil Rundown tank level transmitters have no shade cover to be protected from the direct sun. the sun direct exposure may affect the integrity of the electronic board of these transmitters. ",Safety - electric,,
QSI Observation,B92-E-0052 A joint site inspection following maintenance task not completed and blinds with used gaskets are placed at site.,Others,,
QSI Observation,Replace LO/TO isolation tag at 50-XLS-0111 (for ZV-0115 BPS CLS limit). Tag is missing and just the metal ring remains.,None - minor maintenance,,1C
QSI Observation,Various fire protection equipment units have their monthly and annual inspections overdue at the Admin Area and the Emergency Diesel Generator Building. Please properly inspect and maintain fire protection equipment as per the requirements of GI 1781,Safety - fire and explosion,,1C
Employee Suggestion,"The road Tee-junction near STP do not have a Tee sign to alert vehicle drivers coming from NGL to RIC. Also, there is no Right-Turn ahead sign at the same junction for vehicles coming from RIC to SNGL plant.Install the required signs to alert drivers",None - minor maintenance,,
QSI Observation,RGC-1 Lube Oil reservoir skid is required hydro-jetting and repairing the source of the oil leak.,None - minor maintenance,,
Employee Suggestion,41-HS-1033 B95 D-00005 B DELUGE VALVE For sphere B NGL the push button activate with vibration 41-HS-1032 B95 D-00005 A DELUGE VALVE For sphere A NGL the push button activate with vibration,None - minor maintenance,,
QSI Observation,Chemical Storage Bldg. 100. The HVAC system in the chemical storage building is not operational. Mechanical ventilation inside chemical store buildings shall meet the requirements of SAES-B-14 and NFPA 30.,Safety - fire and explosion,,
QSI Observation,The LP lube oil skid for RGC-4 has high discharge pressure setting of approximately 160 psig. The PCV needs to be adjusted to no more than 145 psig.,Safety - slip trip and fall,,
QSI Observation,Electrical room next to the Emergency Diesel Generator Building (Bldg. #134) have two doors with their closing mechanisms broken. Inspect and repair all doors as necessary.,Safety - fire and explosion,,
QSI Observation,HAZCOM Label /CHB shall be installed on the nitrogen cylinder nearby train I anti-foam tank,Safety - contact with chemicals,,
QSI Observation,The posted One-line diagram drawings at Utility Substation and EDG Control room are IFC drawings. The subject drawings has to be replaced by As Built.,None - minor maintenance,,1C
QSI Observation,5. Missing cover from 3?É¬¢?Ç‚Ç¨?Ç¬ù LP Fitting conduit fitting located at the south side of NGL2 Substation at the Pipe rack.,None - minor maintenance,,
QSI Observation,Car-sealing installed on multiple isolation valves for Chemical storage tanks (D-653/669/667/665) do not achieve their purpose. Evaluate a different car-sealing mechanism that is suitable for the type of valves.,None - minor maintenance,,
QSI Observation,Damaged Tag of lockout tagout at distribution panel B54-SWBD1-DP-001 at Electrical Room on Building 133,Safety - electric,,1C
Unsafe Condition,I found GM-0003 B Make up booster pump has a minor leak from mechanical seal for the pump.,None - minor maintenance,,1C
QSI Observation,Gas detector AE-1031 has missing plug for the test tube at BLDG#405 AC#1B duct.,None - minor maintenance,,
QSI Observation,Remove support metal at NGL-2 back of AC Room,None - minor maintenance,,
QSI Observation,Missing bottom cover bolt form Instrument Junction box 32-GAJB-202 which located at the east of NGL 2 Substation.,None - minor maintenance,,1C
QSI Observation,B93-EW-SS-008 Eye wash catch basin near IG#3 filled by water,Safety - contact with chemicals,,
QSI Observation,Two Disconnect switches identifications paint was faded located beside Exhaust Fan-EF01 at the south side of Chlorination Skid Building 135,None - minor maintenance,,
QSI Observation,One Square pull box found without cover connected to B54-135-AMU-01 located west side of Chlorination Skid Building 135,Safety - electric,,1C
